"Sample_ID","Site_ID","Site_Name","Latitude","Longitude","Elevation","Type","Start_Date","Start_Time_Zone","Collection_Date","Collection_Time_Zone","Phase","Depth_meters","Sample_Comments","d2H","d18O","D17O","d2H_Analytical_SD","d18O_Analytical_SD","D17O_Analytical_SD","WI_Analysis_Source","Project_ID","Bout","Dex","d2H.irms","d18O.irms","p.diff.h","p.diff.o","BaseShift","SlopeShift","Residuals","BaseCurve","CH4","Good"
"22-251_WOOD7-B-2","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-10-27 00:00:00",NA,"2021-10-27 00:00:00",6,NA,NA,"Medicago sativa",-53.3208817384,6.8996258217,NA,0.395918076519791,0.0927216004297365,NA,"SPATIAL",384,"WOOD7",-108.517888312,-81,-10.7,-27.6791182616,-17.5996258217,672.5488,-40.95875,2.6501,-3.9893,-8.75475,FALSE
"22-251_WOOD7-B-5","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-10-30 00:00:00",NA,"2021-10-30 00:00:00",6,NA,NA,"Medicago sativa",-87.8464748447,-9.9301088402,NA,0.402990989896709,0.0429401006544376,NA,"SPATIAL",384,"WOOD7",-8.40560412309999,-88,-11.6,-0.153525155300002,-1.6698911598,0.532550000000001,-0.54025,-0.0313999999999997,-1.01205,-0.19225,TRUE
"22-251_WOOD7-C-2","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-11-01 00:00:00",NA,"2021-11-01 00:00:00",6,NA,NA,"Bromus inermis",-84.764223204,-9.6740278829,NA,0.403353560679827,0.0409437165314024,NA,"SPATIAL",384,"WOOD7",-7.3720001408,-84,-10.9,0.764223204000004,-1.2259721171,0.980800000000002,-1.21075,-0.0536499999999998,-1.43405,-0.1625,TRUE
"22-251_WOOD7-C-4","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-11-03 00:00:00",NA,"2021-11-03 00:00:00",6,NA,NA,"Bromus inermis",-87.71880496,-9.9953609429,NA,0.409401270668714,0.0457345189401891,NA,"SPATIAL",384,"WOOD7",-7.7559174168,-80,-10.8,7.71880496,-0.804639057100001,0.109550000000006,-1.19525,-0.0511499999999998,-1.1093,-0.1155,TRUE
"22-251_WOOD7-C-5","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-11-04 00:00:00",NA,"2021-11-04 00:00:00",6,NA,NA,"Bromus inermis",-80.9496882928,-9.5993893646,NA,0.424527205926646,0.0424808326236544,NA,"SPATIAL",384,"WOOD7",-4.154573376,-84,-10.7,-3.0503117072,-1.1006106354,1.0393,-0.21125,0.00159999999999982,0.480200000000004,0.00324999999999998,TRUE
"22-251_WOOD7-D-3","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-11-07 00:00:00",NA,"2021-11-07 00:00:00",6,NA,NA,"Artemisia absinthium",-67.2805982074,7.7618327289,NA,0.387181270990065,0.100168266670412,NA,"SPATIAL",384,"WOOD7",-129.3752600386,-92,-12,-24.7194017926,-19.7618327289,699.4488,-43.9455,2.97985,-4.99655,-9.67475,FALSE
"22-251_WOOD7-D-4","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-11-08 00:00:00",NA,"2021-11-08 00:00:00",6,NA,NA,"Artemisia absinthium",-89.0220615694,-9.0263242367,NA,0.431250966538726,0.0550072267471449,NA,"SPATIAL",384,"WOOD7",-16.8114676758,-86,-9.5,3.02206156939999,-0.473675763299999,3.58255,-0.311,0.0233500000000002,0.231200000000001,-0.21675,TRUE
"22-262_SJER4-A-2","SJER_tower","San Joaquin Experimental Range NEON",37.10878,-119.73228,400,"Stem","2021-12-21 00:00:00",NA,"2021-12-21 00:00:00",8,NA,NA,"Pinus sabiniana",-66.0112583225,-6.6155148317,NA,0.402083227606198,0.0461540653558827,NA,"SPATIAL",384,"SJER4",-13.0871396689,-66,-7.1,0.011258322499998,-0.4844851683,-1.03955,0.00795000000000101,0.0456000000000003,0.346550000000008,-0.17765,TRUE
"22-303_SCBI6-C-2","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","2021-09-28 00:00:00",NA,"2021-09-28 00:00:00",4,NA,NA,"Quercus alba",-41.2376773668,-3.3847560494,NA,0.427740101739626,0.0649340596472806,NA,"SPATIAL",384,"SCBI6",-14.1596289716,-56,-6.2,-14.7623226332,-2.8152439506,1317.70415,-54.20485,-0.111,-12.49245,-3.158,FALSE
"22-304_UNDE4-A-2","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Acer saccharum",-67.6776132529,-5.7245589231,NA,0.390605785404929,0.0467786755276484,NA,"SPATIAL",384,"UNDE4",-21.8811418681,-65,-7.7,2.6776132529,-1.9754410769,258.9908,-9.7274,0.1962,-3.7894,-1.03495,FALSE
"22-304_UNDE4-A-4","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Acer saccharum",-75.071115528,-5.8389832698,NA,0.396280516087122,0.0494664525797362,NA,"SPATIAL",384,"UNDE4",-28.3592493696,-72,-9.5,3.07111552800001,-3.6610167302,516.1298,-21.07665,0.37195,-8.5474,-2.1007,FALSE
"22-304_UNDE4-B-4","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Acer rubrum",-71.0601304346,-6.069014496,NA,0.395594072655438,0.0494831301260924,NA,"SPATIAL",384,"UNDE4",-22.5080144666,-63,-7.2,8.0601304346,-1.130985504,227.45355,-9.2449,0.0309499999999998,-5.4024,-0.50195,TRUE
"22-304_UNDE4-B-5","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Acer rubrum",-85.6439808282,-10.0692228787,NA,0.410172246541836,0.04501555351612,NA,"SPATIAL",384,"UNDE4",-5.0901977986,-84,-10.9,1.6439808282,-0.830777121300001,360.5528,-13.5984,-0.00055000000000005,-8.69515,-0.6287,TRUE
"22-304_UNDE4-C-3","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Betula papyrifera",-77.728393462,-9.3027594095,NA,0.441153248751411,0.0453060352319384,NA,"SPATIAL",384,"UNDE4",-3.306318186,-79,-10.2,-1.271606538,-0.897240590499999,243.0108,-8.18615,0.07795,-3.81115,-0.4322,TRUE
"22-304_UNDE4-C-4","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Betula papyrifera",-66.0028477055,-4.7055459223,NA,0.381348339704891,0.0503317166054693,NA,"SPATIAL",384,"UNDE4",-28.3584803271,-66,-5.6,0.00284770550000246,-0.8944540777,85.9083,-5.07765,-0.0428000000000002,-4.0699,-0.2827,TRUE
"22-304_UNDE4-D-3","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Picea mariana",-68.4176642666,-6.2290035895,NA,0.400213617918411,0.0518828935696704,NA,"SPATIAL",384,"UNDE4",-18.5856355506,-67,-7.5,1.4176642666,-1.2709964105,3.2948,-1.83315,0.0574499999999998,-0.0786499999999961,-0.50795,TRUE
"22-304_UNDE4-D-5","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"Stem","2021-08-10 00:00:00",NA,"2021-08-10 00:00:00",6,NA,NA,"Picea mariana",-80.536227703,-9.0893282463,NA,0.395863085225175,0.0432085640398802,NA,"SPATIAL",384,"UNDE4",-7.8216017326,-86,-10.7,-5.46377229700001,-1.6106717537,3.5333,0.597349999999999,0.2047,3.0711,-0.61145,FALSE
"23-011_TALL5-B-4","TALL_tower","Talladega National Forest NEON",32.95047,-87.393259,166,"Stem","2021-07-22 00:00:00",NA,"2021-07-22 00:00:00",5,NA,NA,"Liquidambar styraciflua",-24.2381349918,-0.6927051209,NA,0.491760724698063,0.0710335001918499,NA,"SPATIAL",384,"TALL5",-18.6964940246,-32,-4.6,-7.7618650082,-3.9072948791,291.91465,-12.72085,0.45035,-3.2437,-2.15515,FALSE
"23-028_HARV6-C-1","HARV_tower","Harvard Forest & Quabbin Watershed NEON",42.53691,-72.17265,348,"Stem","2021-10-14 00:00:00",NA,"2021-10-14 00:00:00",5,NA,NA,"Pinus strobus",-60.1483994088,-6.7532769138,NA,0.407288727119735,0.0484940101392427,NA,"SPATIAL",384,"HARV6",-6.12218409840001,-65,-9.5,-4.8516005912,-2.7467230862,196.16655,-12.43755,0.0263999999999998,2.06055000000001,-2.0612,FALSE
"23-063_UNDE5-A-4","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"Stem","2021-09-15 00:00:00",NA,"2021-09-15 00:00:00",6,NA,NA,"Acer saccharum",-81.177093928,-9.4005086551,NA,0.408780195333857,0.048302814830537,NA,"SPATIAL",384,"UNDE5",-5.97302468720001,-88,-10.7,-6.82290607199999,-1.2994913449,438.6731,-18.08685,-0.0225999999999997,-2.44985000000001,-1.23415,FALSE
"23-063_UNDE5-E-2","UNDE_tower","University of Notre Dame Environmental Research Center NEON",46.23391,-89.537254,521,"Stem","2021-09-15 00:00:00",NA,"2021-09-15 00:00:00",6,NA,NA,"Abies balsamea",-60.9836231517,-7.3862080484,NA,0.381670139243782,0.047661352948833,NA,"SPATIAL",384,"UNDE5",-1.8939587645,-64,-8,-3.0163768483,-0.6137919516,5.27409999999986,-1.0581,-0.00660000000000016,0.550899999999999,-0.3499,TRUE
"23-079_CLBJ4-C-3","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-07-30 00:00:00",NA,"2021-07-30 00:00:00",6,NA,NA,"Smilax bona-nox",-18.5803745454,-2.1471759445,NA,0.460536769188346,0.0594343806500358,NA,"SPATIAL",384,"CLBJ4",-1.4029669894,-17,-2.5,1.5803745454,-0.3528240555,212.2115,-8.1717,0.048,-4.03655,-0.2638,TRUE
"23-079_CLBJ4-E-1","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-07-30 00:00:00",NA,"2021-07-30 00:00:00",6,NA,NA,"Quercus stellata",-39.4337271955,-4.3678488922,NA,0.395760335643329,0.0532741746042976,NA,"SPATIAL",384,"CLBJ4",-4.4909360579,-44,-4.9,-4.5662728045,-0.532151107800001,287.6625,-11.67945,-0.00724999999999953,-7.40155,-0.4243,TRUE
"23-079_CLBJ4-E-3","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-07-30 00:00:00",NA,"2021-07-30 00:00:00",6,NA,NA,"Quercus stellata",-37.587357715,-3.827238379,NA,0.401491094667297,0.0515394634304998,NA,"SPATIAL",384,"CLBJ4",-6.969450683,-38,-4.3,-0.412642284999997,-0.472761621,292.12775,-11.23795,0.0587500000000003,-5.44905,-0.44355,TRUE
"23-079_CLBJ5-A-3","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Sorghastrum nutans",-10.2836829036,-1.7300313456,NA,0.481183718299339,0.057528076635517,NA,"SPATIAL",384,"CLBJ5",3.5565678612,-18,-2.3,-7.7163170964,-0.5699686544,44.728,-3.0927,0.0882500000000004,0.0219500000000039,-0.33805,TRUE
"23-079_CLBJ5-C-2","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Smilax bona-nox",-28.695049884,-4.8086284725,NA,0.430675021443831,0.0474990779427622,NA,"SPATIAL",384,"CLBJ5",9.773977896,-28,-5.1,0.695049883999999,-0.2913715275,272.36875,-10.4702,0.036,-5.07555,-0.2463,TRUE
"23-079_CLBJ5-C-4","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Smilax bona-nox",-32.313854326,-4.6763506917,NA,0.425987986706511,0.0489709284281071,NA,"SPATIAL",384,"CLBJ5",5.0969512076,-32,-5.5,0.313854325999998,-0.8236493083,227.07075,-8.79745,0.05125,-4.42355,-0.33705,TRUE
"23-079_CLBJ5-D-4","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Schizachyrium scoparium",-9.2792192664,0.1125693332,NA,0.513425202698209,0.0668136454794069,NA,"SPATIAL",384,"CLBJ5",-10.179773932,-18,-0.7,-8.7207807336,-0.8125693332,70.7864,-3.1415,0.14095,0.326150000000005,-0.55435,TRUE
"23-079_CLBJ5-E-5","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-08-27 00:00:00",NA,"2021-08-27 00:00:00",6,NA,NA,"Quercus stellata",-27.0914377568,-2.5479073094,NA,0.43663763166335,0.0565135902871985,NA,"SPATIAL",384,"CLBJ5",-6.7081792816,-22,-3.9,5.0914377568,-1.3520926906,345.941,-13.2342,0.16325,-5.4068,-0.82405,TRUE
"23-080_SJER5-A-2","SJER_tower","San Joaquin Experimental Range NEON",37.10878,-119.73228,400,"Stem","2021-08-21 00:00:00",NA,"2021-08-21 00:00:00",8,NA,NA,"Pinus sabiniana",-57.9846916196,-1.5129912746,NA,0.455597579427938,0.085745736351033,NA,"SPATIAL",384,"SJER5",-45.8807614228,-63,-5.8,-5.0153083804,-4.2870087254,220.0251,-16.6439,0.0194000000000001,0.702250000000006,-3.1839,FALSE
"23-080_SJER5-A-3","SJER_tower","San Joaquin Experimental Range NEON",37.10878,-119.73228,400,"Stem","2021-08-21 00:00:00",NA,"2021-08-21 00:00:00",8,NA,NA,"Pinus sabiniana",-62.5820434699,-2.0110965411,NA,0.401203473503527,0.0661796402674425,NA,"SPATIAL",384,"SJER5",-46.4932711411,-64,-6.9,-1.4179565301,-4.8889034589,346.9776,-22.00165,0.0904000000000003,0.946250000000006,-3.68415,FALSE
"23-080_SJER5-B-3","SJER_tower","San Joaquin Experimental Range NEON",37.10878,-119.73228,400,"Stem","2021-08-21 00:00:00",NA,"2021-08-21 00:00:00",8,NA,NA,"Quercus douglasii",-62.7455435963,-0.0010085446,NA,0.425888573533298,0.0857985340125024,NA,"SPATIAL",384,"SJER5",-62.7374752395,-73,-6.9,-10.2544564037,-6.8989914554,861.49485,-44.45515,0.3394,-1.0545,-5.4694,FALSE
"23-080_SJER5-B-4","SJER_tower","San Joaquin Experimental Range NEON",37.10878,-119.73228,400,"Stem","2021-08-21 00:00:00",NA,"2021-08-21 00:00:00",8,NA,NA,"Quercus wislizeni",-57.8412798764,-1.7098504748,NA,0.375972902049452,0.0644314568226839,NA,"SPATIAL",384,"SJER5",-44.162476078,-58,-2.9,-0.158720123599998,-1.1901495252,1329.5716,-50.8914,-0.2716,-18.62375,-2.12715,FALSE
"23-080_SJER5-C-2","SJER_tower","San Joaquin Experimental Range NEON",37.10878,-119.73228,400,"Stem","2021-08-21 00:00:00",NA,"2021-08-21 00:00:00",8,NA,NA,"Quercus wislizeni",-45.0977978499,1.6858430772,NA,0.411149468186199,0.0895529038014631,NA,"SPATIAL",384,"SJER5",-58.5845424675,-44,1.2,1.0977978499,-0.4858430772,1207.10435,-46.24665,-0.1591,-13.81,-1.8749,FALSE
"23-080_SJER5-C-4","SJER_tower","San Joaquin Experimental Range NEON",37.10878,-119.73228,400,"Stem","2021-08-21 00:00:00",NA,"2021-08-21 00:00:00",8,NA,NA,"Bromus hordaceus",-56.8555927836,-0.5283882702,NA,0.384834131705325,0.0674706568032441,NA,"SPATIAL",384,"SJER5",-52.628486622,-66,-5.3,-9.1444072164,-4.7716117298,510.2016,-28.4834,0.1199,0.314499999999995,-3.90815,FALSE
"23-081_TALL6-B-4","TALL_tower","Talladega National Forest NEON",32.95047,-87.393259,166,"Stem","2021-09-27 00:00:00",NA,"2021-09-27 00:00:00",5,NA,NA,"Quercus falcata",-30.0826769416,-2.3847703394,NA,0.460774213554122,0.0627290125471415,NA,"SPATIAL",384,"TALL6",-11.0045142264,-28,-4.7,2.0826769416,-2.3152296606,6.93955,-1.9128,0.2506,1.23005,-1.0822,FALSE
"23-081_TALL6-B-5","TALL_tower","Talladega National Forest NEON",32.95047,-87.393259,166,"Stem","2021-09-27 00:00:00",NA,"2021-09-27 00:00:00",5,NA,NA,"Quercus falcata",-30.0342712263,-2.2586076502,NA,0.430058433171825,0.0630511580474436,NA,"SPATIAL",384,"TALL6",-11.9654100247,-28,-3.4,2.0342712263,-1.1413923498,456.0873,-16.66705,0.18185,-7.1747,-0.9727,TRUE
"23-081_TALL6-C-1","TALL_tower","Talladega National Forest NEON",32.95047,-87.393259,166,"Stem","2021-09-27 00:00:00",NA,"2021-09-27 00:00:00",5,NA,NA,"Vaccinium arboreum",-32.2089646099,-3.339664732,NA,0.429541760066499,0.0582788942106285,NA,"SPATIAL",384,"TALL6",-5.4916467539,-33,-4.1,-0.791035390099999,-0.760335268,50.01205,-2.10455,0.1136,-0.111200000000004,-0.48845,TRUE
"23-081_TALL6-C-4","TALL_tower","Talladega National Forest NEON",32.95047,-87.393259,166,"Stem","2021-09-27 00:00:00",NA,"2021-09-27 00:00:00",5,NA,NA,"Vaccinium arboreum",-33.5388420894,-4.1408996752,NA,0.421132678388546,0.0543775743132247,NA,"SPATIAL",384,"TALL6",-0.411644687799999,-35,-4.6,-1.4611579106,-0.4591003248,716.9953,-25.1738,0.11685,-12.62195,-0.92845,TRUE
"23-081_TALL6-D-2","TALL_tower","Talladega National Forest NEON",32.95047,-87.393259,166,"Stem","2021-09-27 00:00:00",NA,"2021-09-27 00:00:00",5,NA,NA,"Liquidambar styraciflua",-28.9131067048,-3.3018089203,NA,0.48096383182978,0.0661935405554878,NA,"SPATIAL",384,"TALL6",-2.4986353424,-35,-3.7,-6.0868932952,-0.3981910797,842.1663,-29.94205,0.1431,-13.8802,-1.0257,TRUE
"23-081_TALL6-D-3","TALL_tower","Talladega National Forest NEON",32.95047,-87.393259,166,"Stem","2021-09-27 00:00:00",NA,"2021-09-27 00:00:00",5,NA,NA,"Liquidambar styraciflua",-29.0055602263,-3.0806164522,NA,0.441804371301511,0.0613296454441923,NA,"SPATIAL",384,"TALL6",-4.3606286087,-26,-3.7,3.0055602263,-0.6193835478,737.8358,-25.7308,0.1331,-12.27545,-0.93545,TRUE
"23-082_WOOD6-A-4","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-09-22 00:00:00",NA,"2021-09-22 00:00:00",6,NA,NA,"Poa pratensis",-63.2341220148,-6.7436773309,NA,0.411090995185792,0.0456982236887917,NA,"SPATIAL",384,"WOOD6",-9.2847033676,-62,-7.1,1.2341220148,-0.3563226691,172.49545,-8.12135,-0.10275,-3.36085,-0.78665,TRUE
"23-082_WOOD6-B-2","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-09-22 00:00:00",NA,"2021-09-22 00:00:00",6,NA,NA,"Medicago sativa",-79.8344021498,-8.5378102264,NA,0.404661635413436,0.0432398950834216,NA,"SPATIAL",384,"WOOD6",-11.5319203386,-78,-9,1.8344021498,-0.4621897736,7.36294999999996,-1.7176,-0.11,-2.41985,-0.6259,TRUE
"23-082_WOOD6-B-5","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-09-22 00:00:00",NA,"2021-09-22 00:00:00",6,NA,NA,"Medicago sativa",-41.3068161111,1.1687349409,NA,0.459291817848041,0.0681486094592995,NA,"SPATIAL",384,"WOOD6",-50.6566956383,-55,-7.4,-13.6931838889,-8.5687349409,828.40495,-46.4096,0.6835,3.9469,-6.20565,FALSE
"23-082_WOOD6-D-1","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-09-22 00:00:00",NA,"2021-09-22 00:00:00",6,NA,NA,"Artemisia absinthium",-80.6952571112,-8.4848605702,NA,0.399594997312726,0.0442988256590466,NA,"SPATIAL",384,"WOOD6",-12.8163725496,-80,-8.7,0.695257111199993,-0.215139429799999,8.15049999999999,-1.477375,-0.0189000000000001,-0.281125000000003,-0.2573,TRUE
"23-082_WOOD6-D-4","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-09-22 00:00:00",NA,"2021-09-22 00:00:00",6,NA,NA,"Artemisia absinthium",-70.8800772213,-6.3784854108,NA,0.418141817221122,0.0500319599661667,NA,"SPATIAL",384,"WOOD6",-19.8521939349,-71,-9,-0.119922778700001,-2.6215145892,459.2672,-22.31035,-0.0280000000000005,-1.5826,-2.48315,FALSE
"23-084_CLBJ6-A-2","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-09-29 00:00:00",NA,"2021-09-29 00:00:00",6,NA,NA,"Sorghastrum nutans",-14.5934288265,-1.1617120593,NA,0.510696358172686,0.0611804607644682,NA,"SPATIAL",384,"CLBJ6",-5.2997323521,-9,-1.7,5.5934288265,-0.5382879407,887.8021,-34.17725,-0.1425,-10.447,-1.51895,FALSE
"23-084_CLBJ6-D-5","CLBJ_tower","Lyndon B. Johnson National Grassland NEON",33.40123,-97.57,272,"Stem","2021-09-29 00:00:00",NA,"2021-09-29 00:00:00",6,NA,NA,"Schizachyrium scoparium",-4.2036512951,0.848881817,NA,0.524460837423233,0.0691899568671597,NA,"SPATIAL",384,"CLBJ6",-10.9947058311,-7,0.5,-2.7963487049,-0.348881817,202.4251,-8.59075,-0.156,-6.26575000000001,-0.7067,TRUE
